rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
93,fargo,1996,crime drama thriller,english,86.0,81.0,751771,88.0,88.0,72,89.0,470077,84,939939,89.0,tt0116282,86.5,1.0
94,shoplifters,2018,drama crime thriller,japanese,86.0,79.0,91034,93.0,89.0,147,88.0,83143,86,244423,84.0,tt8075192,86.5,1.0
95,no country for old men,2007,crime drama thriller,english,87.0,82.0,1113836,92.0,89.0,206,84.0,743270,86,1428294,85.0,tt0477348,86.33,5.0
96,aliens,1986,action thriller science fiction,english,86.0,84.0,804533,84.0,88.0,99,90.0,516707,82,687721,90.0,tt0090605,86.33,2.0
97,la dolce vita,1960,comedy drama,italian,86.0,80.0,82147,95.0,92.0,66,87.0,62176,86,118064,78.0,tt0053779,86.33,5.0
98,once upon a time in the west,1968,drama western,italian,86.0,85.0,365674,82.0,89.0,61,92.0,112953,88,206571,82.0,tt0064116,86.33,3.0
99,the general,1926,comedy action adventure war,english,86.0,81.0,101941,87.0,93.0,52,89.0,36906,84,87490,84.0,tt0017925,86.2,4.0
100,solaris,1972,drama science fiction mystery,russian,86.0,79.0,101413,93.0,88.0,62,87.0,71458,84,159749,86.0,tt0069293,86.17,1.0
101,platoon,1986,drama war action,english,85.0,81.0,453374,92.0,87.0,77,89.0,242805,80,247515,88.0,tt0091763,86.17,2.0
102,spotlight,2015,drama history,english,85.0,81.0,516632,93.0,89.0,226,89.0,208496,82,483396,83.0,tt1895587,86.17,0.0
103,forrest gump,1994,comedy drama romance,english,85.0,88.0,2362620,82.0,79.0,87,92.0,1666500,82,2511027,94.0,tt0109830,86.17,13.0
104,your name,2016,animation romance drama,japanese,85.0,84.0,352028,81.0,82.0,94,91.0,346957,84,1014115,95.0,tt5311514,86.17,9.0
105,memories of murder,2003,crime drama thriller,korean,85.0,81.0,237542,82.0,82.0,68,90.0,203836,88,587951,94.0,tt0353969,86.17,8.0
106,the wizard of oz,1939,adventure fantasy family,english,86.0,81.0,447805,92.0,94.0,104,85.0,799483,80,644347,85.0,tt0032138,86.17,9.0
107,the wages of fear,1953,drama thriller adventure,french,85.0,81.0,69739,85.0,89.0,52,91.0,22172,86,48927,84.0,tt0046268,86.0,2.0
108,the last picture show,1971,drama romance,english,86.0,80.0,54647,93.0,92.0,69,86.0,33440,84,71748,81.0,tt0067328,86.0,6.0
109,i am not your negro,2016,documentary,english,87.0,79.0,24118,95.0,91.0,127,81.0,28746,84,57440,86.0,tt5804038,86.0,10.0
110,the act of killing,2012,documentary,indonesian,86.0,82.0,42189,92.0,89.0,112,83.0,35639,88,76803,82.0,tt2375605,86.0,6.0
111,the cabinet of dr caligari,1920,drama horror thriller crime,german,85.0,80.0,73119,87.0,93.0,75,86.0,77818,82,177616,89.0,tt0010323,86.0,7.0
112,reservoir dogs,1992,crime thriller,english,86.0,83.0,1126378,81.0,87.0,63,90.0,693273,84,1184639,91.0,tt0105236,86.0,3.0
113,memento,2000,mystery thriller,english,85.0,84.0,1371012,83.0,83.0,121,91.0,689974,84,1305228,91.0,tt0209144,86.0,8.0
114,the deer hunter,1978,drama war,english,85.0,81.0,373634,90.0,87.0,79,89.0,142669,84,220254,85.0,tt0077416,86.0,2.0
115,yi yi,2000,drama,chinese,85.0,81.0,30233,94.0,86.0,51,88.0,40627,90,106448,77.0,tt0244316,86.0,2.0
116,the handmaid,2016,thriller drama romance,korean,85.0,81.0,186305,85.0,84.0,162,88.0,198447,88,572569,90.0,tt4016934,86.0,4.0
117,aftersun,2022,drama,english,86.0,76.0,113280,95.0,90.0,145,87.0,384741,84,1151527,85.0,tt19770238,86.0,3.0
118,raging bull,1980,drama,english,85.0,81.0,393517,90.0,90.0,91,89.0,228557,84,421824,81.0,tt0081398,85.83,1.0
119,nobody knows,2004,drama,japanese,85.0,80.0,33279,88.0,82.0,51,89.0,30957,88,72551,88.0,tt0408664,85.83,7.0
120,terminator 2 judgment day,1991,action thriller science fiction,english,85.0,86.0,1224062,75.0,83.0,80,90.0,732641,86,696537,95.0,tt0103064,85.83,7.0
121,rosemarys baby,1968,drama horror thriller,english,86.0,80.0,247212,96.0,90.0,94,84.0,198214,84,446121,81.0,tt0063522,85.83,6.0
122,the philadelphia story,1940,comedy romance,english,85.0,78.0,75972,96.0,91.0,58,88.0,57062,80,76512,82.0,tt0032904,85.83,3.0
123,diabolique,1955,horror thriller mystery,french,84.0,81.0,71254,87.0,87.0,57,89.0,30133,84,69607,88.0,tt0046911,85.8,2.0
124,mad max fury road,2015,action adventure science fiction,english,86.0,81.0,1159013,90.0,87.0,342,83.0,643941,84,1670956,89.0,tt1392190,85.67,4.0
125,to kill a mockingbird,1962,drama,english,85.0,83.0,341855,88.0,89.0,57,89.0,188021,82,205312,83.0,tt0056592,85.67,0.0
126,crouching tiger hidden dragon,2000,adventure drama action romance,chinese,86.0,79.0,287305,94.0,89.0,129,83.0,355015,82,209205,87.0,tt0190332,85.67,6.0
127,2001 a space odyssey,1968,science fiction mystery adventure,english,86.0,83.0,748841,84.0,90.0,98,87.0,555464,86,1065318,84.0,tt0062622,85.67,3.0
128,dune part two,2024,science fiction adventure,english,86.0,85.0,612042,79.0,83.0,262,87.0,771597,88,2282092,93.0,tt15239678,85.6,4.0
129,flow,2024,animation fantasy adventure,latvian,86.0,79.0,58616,86.0,85.0,96,87.0,198274,82,552498,96.0,tt4772188,85.6,2.0
130,waltz with bashir,2008,drama animation war documentary,hebrew,85.0,80.0,61610,91.0,86.0,107,87.0,45622,80,48820,89.0,tt1185616,85.5,1.0
131,persepolis,2007,animation drama,french,85.0,80.0,102558,90.0,84.0,114,88.0,90152,84,169387,87.0,tt0808417,85.5,4.0
132,wont you be my neighbor,2018,documentary,english,85.0,83.0,27589,85.0,87.0,138,90.0,29872,84,80612,84.0,tt7681902,85.5,3.0
133,inside out,2015,animation family adventure drama comedy,english,85.0,81.0,860273,94.0,90.0,254,86.0,851631,76,2277929,86.0,tt2096673,85.5,4.0
134,up,2009,animation comedy family adventure,english,85.0,83.0,1173646,88.0,87.0,201,87.0,1493295,82,2069307,86.0,tt1049413,85.5,0.0
135,call me by your name,2017,romance drama,english,85.0,78.0,337407,94.0,90.0,237,84.0,691944,78,2041245,89.0,tt5726616,85.5,6.0
136,oppenheimer,2023,drama history,english,85.0,83.0,864475,90.0,87.0,302,87.0,1000378,84,2917402,83.0,tt15398776,85.4,0.0
137,the father,2020,drama,english,85.0,82.0,211198,88.0,87.0,184,87.0,119435,86,353409,84.0,tt10272386,85.4,0.0
138,la strada,1954,drama,italian,84.0,80.0,68087,87.0,90.0,55,89.0,37323,84,69523,84.0,tt0047528,85.4,1.0
139,4 months 3 weeks and 2 days,2007,drama,romanian,85.0,79.0,64547,97.0,87.0,81,83.0,34030,84,48502,82.0,tt1032846,85.33,4.0
140,the grand budapest hotel,2014,comedy drama,english,85.0,81.0,921664,88.0,86.0,231,84.0,797026,84,2192851,89.0,tt2278388,85.33,2.0
141,finding nemo,2003,animation family,english,85.0,82.0,1153261,90.0,88.0,136,84.0,22787152,80,1647744,88.0,tt0266543,85.33,4.0
142,rebecca,1940,mystery romance thriller drama,english,85.0,81.0,153711,86.0,88.0,87,88.0,68440,82,125899,87.0,tt0032976,85.33,0.0
143,princess mononoke,1997,adventure fantasy animation,japanese,84.0,83.0,455770,76.0,80.0,76,91.0,506502,88,1073861,94.0,tt0119698,85.33,11.0
